"id","profileName","text","date","title","rating","images"
"RS5Q1P6U4VAMJ","John","
  This book does all it can to make programming formidable and boring. It's not concise. It's too wordy.Most of it is filled with explanations and vanilla examples that just is not very enlightening.It's first chapter ""getting started"" will make you never start.Reading the first chapter, I decided not to read any further. Then my friend came along and did all that was intended in the chapter in less than a minute. The book spends a whole chapter on what can be done in a minute. I'm sure it meant well, but it is excessively full of explanations that are not relevant, and stuff that will just make the beginners crap.(Do beginners really have to know anything about Python 2? Or the difference between Python 2 and 3? Seriously? If not, why did you put it on the very first chapter?)It just doesn't get any better in the later chapters.This is a passage from Chapter 2:""When an error occurs in your program, the Python interpreter does itsbest to help you figure out where the problem is. The interpreter providesa traceback when a program cannot run successfully. A traceback is a recordof where the interpreter ran into trouble when trying to execute your code.Here’s an example of the traceback that Python provides after you’ve accidentallymisspelled a variable’s name ... ""WTF.If the book was intended for beginners - can't understand. If the book was intended for developers familiar with other languages - too verbose.----------------------------------------------------------------------<updated later>Actually, now that I'm beyond the very very early phase, this book is pretty fun to read. And quite helpful.I've been going back and forth between three introductory books, but this is the one that I actually find most enjoyable and helpful.Sorry about the earlier comment, but I think few points are still valid.
","Reviewed in the United States on November 4, 2019","Changing the rate",4,""
"R27CYSUUZXTJ9D","Jonathan A. Titus","
  The index in this book is awful so one star is the best I can offer.  Wish I could give it zero stars.  I have programmed in other languages and aimed to learn about Python so as a volunteer I could answer students' questions in a junior-high programming course.  The index is horrible and newcomers will find it difficult to locate important information.  As an example, the use of a loop in software lets a computer do something many times.  The word ""loop"" is not in the index.  That goes for """"else"" and ""elif,"" also important commands.  The entry labeled ""for loops"" points readers to a chapter labeled ""Working with Lists.""  Granted, this chapter includes information about loops, but you need to go to Chapter 7, ""User Input and while loops.""  The topic of loops should have its own chapter.  I need to find a better book and not one with half the pages devoted to games, data visualization, and web applications, which I have no use for. Revised 12-17-2020
","Reviewed in the United States on October 21, 2020","AWFUL:  Sparse index makes info difficult to find info.",1,""
"R2X3ZI94OG50T0","RiskyOne","
  Over the past 3 years I have worked with one objected oriented programming language, VBA. Basically, I've taught myself by watching countless video, visiting numerous websites, purchasing lessons and books and hours of trial in error. When I decided to take on Python, I wanted to approach it differently and get a good understanding, so I decided to purchase a highly rated beginner's book. Python Crash Course was recommended on a programming website. I decided to purchase it and give it a go. The author of Python Crash Course, Eric Matthes, does a phenomenal job explaining the language and providing simplified examples. What I have found most beneficial is the break down and explanation of each step he provides after almost every example. Giving you the ""why's"" behind the process. I highly recommend this publication to any beginner who wants solid understanding of Python.
","Reviewed in the United States on October 2, 2020","Excellent resource for beginners.",5,""
"RDQJ54L3XITID","kamgrn","
  I’m transitioning into a new role at work, and python is a requirement.  I wasted many hours on 2 udemy courses and a different python book.  Completely useless for a newbie to programming.  And then I found this book!  Lifesaver.  It literally walks thru everything step by step and is in a language that Makes sense and doesn’t have that techie over the head jargon. I would recommend this book to ANYONE wanting to learn Python. I will definitely be looking for other books by this author.  HIGHLY RECOMMENDED!
","Reviewed in the United States on December 7, 2019","10 stars!!",5,""
"R1UW5F0M47T5C3","Don","
  A disaster from the getgo: on page 2 the author listed a requirement to download a 'sublime text' program, which froze my computer, requiring a reset and several hours reinstalling deleted programs. I never made it past Chapter 1, where he kept referring to 'hello_world.py', which I was unable to correlate to the 'print' command. He notes that a text editor is necessary, but doesn't provide any specific editor, such as PyCharm. Wouldn't recommend this to a compete novice, such as myself.
","Reviewed in the United States on May 6, 2020","Don't waste your money!",1,""
"R3SUJX4KZOSSJ4","Brian. Vogel","
  The 11 chapters of the book was very good at teaching python fundamentals. The examples were easy to follow and build upon. If I had stopped there, I probably would have given it 5 stars.I decided to try out the Django section.  The author's choice to house the app learning_logs in a folder learning_logs made it very confusing, particularly when the folder name displays as learning_log$.  I frequently wasn't sure if I was in the correct directory when issuing python manage.py commands.  -2 stars for this.
","Reviewed in the United States on November 26, 2019","Great For Introduction",3,""
"R1HV0O7Q9M36FN","WF","
  First, I just want to say thank you for allowing multiple chapters in your free kindle preview! I get so frustrated when I go to buy a new score (music) book. Just this week I purchased a Halloween easy piano book. It only shows the cover and the index. Now one is going to steal any music if you show two or three pages of different scores. But, it lets me know if I've at the level to be able to play it. Which brings me to this book. I have many beginner Python books. I wanted to teach a friend python and couldn't really recommend a book. On Kindle, I saw this had a free preview. If it didn't I wouldn't have purchased this book. But, it had I think four free chapters. I read chapters two and three. And was hooked. Now...I am compltely paperless. I do everything by PDF. However, I'm a book person. I like having a physical book. I've tried e-books but it's just not the same. I ordered the paper book and while it was shipped I was able to keep reading thanks to the free preview.The book is awesome. If you have NO programming background at all. This book is definitely for you. And it's written to where you can understand it with real-world examples that are relatable. I have many of the De-Mystifying books from McGraw. What some of those authors were thinking...I have no idea. The real-world example they give are not relatable to a normal human.This book will get you quickly up-to-speed and programming in Python! It really is a crash course that people can understand!Thanks for writing such a great book! I really enjoyed it!
","Reviewed in the United States on August 20, 2020","I have a whole bookshelf on Python books. Hands down the best book for beginners!",5,""
"R3F5MIDEUO5COR","Jimmy R. Russell","
  This book didn't feel like a crash course but didn't feel like a textbook either. The author briskly reviewed some key basic concepts and gave the odd pointer here or there, and the book promptly moved on to some real-world examples. The author also gives you an overview of what is out there in the Python ecosystem, which is helpful because there is a lot out there. It is not like Java where everything you need is in the API. If you're like me and you had a background in programming already, that's exactly what you were looking for. If you are completely new to programming and you've decided to learn in Python, this would still be a good book to buy but you may want to buy another book to complement it.
","Reviewed in the United States on October 8, 2020","Great book. Helped a ton!",5,""
"R1E5M1YLM2FZSP","idontwanttomakeone","
  My background is in JS, so I was looking for something that would both help me navigate installing Python3, learning the language syntax and differences in rules, and delve a little deeper in classes & objects.So far, it's clear that this is set up for absolute beginners, and I wouldn't call it a ""crash"" course. It's extremely thorough about walking you through common syntax errors you'll probably make on your own. I do like that it encourages you to play with breaking the code, which is absolutely necessary for learning how to code, but it's a little hand-holdy. I was expecting the guidance to loosen up as you went on, but as of chapter 6 out of the 11 chapters that introduce the topics, it's still very sheltered.I'd suggest people wanting a little more challenge/for things to stick a little longer read the first ""A Simple ___"" section whenever a topic is introduced, then jump to the exercises. See what you can accomplish there just from seeing the example code, and if you run into trouble, then go back through all of the ""how to do this exact thing"" stuff.Using the book this way, it's been a great reference book, and a quick read. I wish more complex ideas were introduced earlier, like conditionals/loops, so that the exercises could introduce more problem-solving than you can get with just print earlier, but I'm looking forward to the projects section.Oh, and yeah the binding did pop off on day 1. But it was super clean, so I just dabbed some rubber cement on the spine. It's not a big deal.
","Reviewed in the United States on May 13, 2020","Binding does pop off. Definitely for people with zero code experience, but still a great reference.",4,""
"R1IF4UDONTO7Z5","Shai Adar","
  This book has taught me again that not everything that is popular is necessarly good or even moderately good.The pace is incredibly slow, like it was written for little children. The exercises are a joke - they don't make you *think*, they are very simplistic.The thing that is most annoying is that every chapter he writes something like ""You will use lists when you, for example, want to write a game where you shoot aliens and want to remove aliens that were shot down"" when it is clear that you won't get anywhere near that level of programming ability by reading this useless book.If you want a good book, don't go by what I say but go to the official python site at python.org and buy one of the books that they recommend for beginners. I bought the first book on the list and although the exercises are much harder it is by far a better book.
","Reviewed in the United States on December 22, 2020","Don't buy this if you want to seriously code in Python",2,""
"R3AZNHUBKSOBGA","W. K. Holton","
  3 years ago I read this book without knowing much about programming at all.I am now very familiar with python and this book is the reason why. It kept me motivated and not discouraged. Other books for beginners I read just killed the fun, but this book statys easy to read, simple to follow and does not have a bunch computer science jumble that makes it hard to learn new things.In my experience if you want to learn a language you need to dive in. This book dives in with small, simpme chunks that you can see output right away. The code is simple to read and doesn't complicate things with to many methods and calls.You will need to know some basic computer skills like installing a editor, and how to use a keyboard,  but other than that it's a amazing beginner book!
","Reviewed in the United States on March 2, 2020","From your first exception errror to your first Hello World.",5,""
"R25I8CWIV9HMLS","David A Patten","
  There are no clear instructions for how to install pygame. The first half of the book was great. But unfortunately, half the book was useless because it requires pygame. I followed the book verbatim: $ python -m pip install --user pygame and kept getting syntax errors. Python doesn't recognize $ as a valid input.  I googled around for solutions and got a variety of other errors. The author didn't seem to anticipate the magnitude of the problem if pygame couldn't be installed given his one line of instruction.
","Reviewed in the United States on February 3, 2020","Single point of failure: pygame",1,""
"R2M2AT6AHNOA5V","geekandglitter","
  I am a beginner/intermediate Python programmer with many holes in my knowledge; thus I am using this book both for reference and for systematic self-teaching.I've never seen such a thorough, comprehensive, and easy to use table of contents and index in any technical book.  This makes the book as easy to use as a reference as it is a teaching tool through building projects.This author, who is a trained teacher, clearly has a rationale behind laying out every concept. It's no wonder it's been translated into several languages and is a best seller.The form factor, typeface, and spacing are also carefully planned, as each page draws the eye in.Another note of interest is that I, perhaps like many people, tend not to want to learn through building someone else's projects. I just want to learn what I need to build my own! Thus when I take online courses, I avoid those that are project based.  But a physical book can make it worthwhile to build the projects, because doing so makes it an even better reference afterward. That is, the projects become old friends rather than throw-away. I only thought of this now, looking at this book, because I am confident that if any teacher/author can make me build their project, this author can.As programmers, we all heavily use google to find answers. I am happy to now have a physical book at my side. And just to make this book even better, it comes with lots of free meta materials which the author is actively maintaining.  This book is a find.
","Reviewed in the United States on December 3, 2020","Can be used both as a reference and a teaching tool",5,""
"R33V7E2SUYVWDT","James PJ","
  First off, I want to enter a quote from page 173: ""This brings you to an interesting point in your growth as a programmer.  When you wrestle with questions like these, you're thinking at a higher logical level rather than a syntax-focused level.  Your're thinking not about Python, but about how to represent the real world in code.""  This quote reminds me of another: ""the best programming is done by programmers immersed in the environment they are writing for.  I was lucky to be immersed and programming in a clinical environment.  I've been out of that (programming) environment for about eight years and grabbed this book because I'd been missing this kind of thinking.  Matthes is great at teaching syntax and great at getting you thinking about program modeling in the real world.  Great book, but you might need a wee bit of glue to keep the cover on.
","Reviewed in the United States on June 8, 2020","Brilliant Writing",5,""
"R3G7MCXLOZGDTO","Some Guy","
  This is probably one of the best introductory programming books I've ever tried. Back when I was an undergraduate, I learned Pascal (yup, they still taught it at that point), C, and C++.  Neither the professors or the textbooks were very good at explaining...well...anything. Luckily, I was able to figure things out for myself, but it really left a sour taste in my mouth about programming (I've done scripting professionally, but it wasn't my primary role).Fast forward to now. I have one foot in each of 2 worlds - behavioral science and IT (networking and security). Both worlds use Python. I decided to get this book and finally sit down and learn it (I was briefly introduced to Python when I was an undergraduate and asked why we didn't have a class in it, I would have preferred it). This book has very clear, concrete examples and you learn by doing. For the first half (or a little more), you'll learn the basics of what you need to navigate the language. You'll do short exercises to lock in what you learn. Later on the book, you'll actually work on larger, more involved projects and the author guides you through with excellent explanations.Needless to say, I picked up Python faster than any language before it. I've come to really like the No Starch Press books as I find them (in general) to be well-written  and clear.
","Reviewed in the United States on December 31, 2020","Great",5,""
"RCJ1TA9XB5WWU","Samson","
  The first 8 chapters are presented at a good pace with lots of exercises.  (Work the exercises).  Exercises are challenging the first time you see them.  Ch 9 (Classes) didn't stick the first time through, but maybe it's the material ??  I expect to have to repeat it several times.There is a BIG step up into chapter 12 -- the first large project -- Alien Invasion.  Found myself in a position of typing in the code, and understanding the code, but knowing I could not write the code.  What makes it especially difficult was -- to save space -- the author plugged snippets of code into partial program listings while telling you in the text to delete sections of code.  I would suggest that's a very poor way of changing the code as it's extremely easy for the user to mess up.  I got frustrated to the point of just quitting several times working through this portion of the book.  This cost it a star.Also, the code ran extremely slow -- taking half an hour to load.  Not sure what that's about.  Looked online but couldn't find anybody with a similar problem.  Like everybody else said -- the binding is awful -- but the content is really good.  Especially true of the first 8 chapters.  This would be a 4 star review were it not for the binding.
","Reviewed in the United States on December 7, 2020","Overall Pleased",3,""
"R3A8P4T32WC2IB","Patrick Hoang","
  It took me some time to get around to learn Python scripting, but so far it is simple and straight forward in how to program in Python.  If you want to get in further depth, it would definitely be good to check out O'Reillys books for Python as they are more in depth technically(have not used it, but my coworker has told me so).Reason why I am giving it 4 stars instead of 5, is due to the simplicity of the practice problems and wording.  I wish it was more challenging and utilizes the previous chapters we learned and continues to implement it in the current chapters, as an ongoing and repetitive learning.  If the author followed the practice problems ""C Programming Language"" by Dennis M. Ritchie and Brian W. Kernighan(very good C programming book by the way), then it would definitely be more challenging and allow the person to think and be more creative.  The problems the author gives are okay, but I used them to think of more creative things.Definite good investment in having a physical copy, reading it and going through the book and examples.  But please do your best to also make problems that you wish to solve and implement from what you learned through this book.
","Reviewed in the United States on October 17, 2020","Great start for Beginners in Programming and Python! But Needs Better Practice Problems.",4,""
"R2N6NCAVF87BG8","Mr. Ty","
  Been a programmer for a long, long time and bought this to learn Python.  So far, so good, I've had good references and bad.  Really not far enough along to provide a fully justified review of the material covered.But after two days of using it, it is pretty shoddily made.  The cover has come completely off.  Not figuratively or virtually, but completely, as in the cover can go in one direction and the rest of the book in another.  Two days.
","Reviewed in the United States on September 1, 2020","The material seems good, the book, not so much.",1,""
"RU5ZPHG13VW0H","Leeber Cohen","
  There are numerous positive reviews of this text as a excellent learning tool for Python. The code for the longer excercises can all be downloaded from the  publisher's website. This is particularly wonderful for the long projects particularly the Space Alien Game. If you are interested in math and statistics you will need to supplement this text with other publications. Math Adventures with Python and Doing Math with Python  from the same publisher were fun. However, the math is at pretty at high school level.  The Math Adventures with Python uses Processing graphics software which  several reviewers were not happy with. I hope to explore other publications and review them as I go. I would mention that I a am using Anaconda with Python 3.8 for the crash course. Matplotlib and several over libraries  are easily called without any  Path issues. Python Crash Course is a wonderful text and the author strongly deserves our thanks for the dedication and preparation involved.
","Reviewed in the United States on November 11, 2020","Wonderful tool. Not enough math and physics,",5,""
"RMJ0JHCKZWGOY","Noah Benedict","
  i have a very hard time with reading and comprehension. most text books or educational materials are super hard for me to read due to various disabilities. i have wanted to learn how to program for a very long time, but i was intimidated by most texts and felt discouraged that someone with these issues could never learn to programbut this book is amazing. its formatted well to be informative but accessible, it explains things well and the project-based learning is awesome. ive only spent a few days reading it but ive already learned so much, when it usually takes me weeks to get where i am with only half as much comprehension. you can tell the author knows how intimidating it looks to a lot of people who dont know the first thing about coding languages, because they have explained it in a way that i could grasp immediately.if youre looking to learn Python, i would recommend this book 100000%. i hope this author has other books on different programming languages, because if this is how they wrote Python, ill definitely read the others.10/10, amazing, im enjoying learning through this method so much. its not easy learning a language for the first time- but this books helps you work through the difficulties through small projects and encouraging readers to make errors to see what errors look like, and what fixes them
","Reviewed in the United States on November 19, 2020","An Excellent Introduction",5,""
"R2CBW2NOC95UUY","Mike Trumpfheller","
  Cover:I have this book now 2 weeks and today I discovered that the cover was detached.Probably a cheap clue was used. $40 for a book where the cover falls off, ..The Paper and the print is decent.The Index is a bit thin.Content:You can find the code explained in the book on git, for download.../ehmatthes/pcc_2e/One of the best readable books for Python I read so far.List of books I read at least the half of* The Quick Python book (Naomi Ceder))* Automate the boring stuff with Python* Starting out with Python 2nd Ed_Gaddis*Think Python, Downey, O'ReillyDowner:Since Py3 there have been changes in the env var which majorleague suck.Homebrew recommends to delete some libraries from python2 but you need tobe careful: keep python2 installed on your Mac or apps won't function and you have to reinstallthe entire OS.
","Reviewed in the United States on September 15, 2020","Cover and content",4,"https://images-na.ssl-images-amazon.com/images/I/71nI+VtcQcL.jpg"
"R1YPWS493HNTQ3","Eric J.","
  This review is for the printed version of the book; I have not seen the kindle version.  I am an experienced developer, but brand new to Python.  After buying, and in one case returning, several kindle books on Python, I still hadn’t found one which I felt did a first-rate job of presenting the material.  Then I bought the “Python Crash Course” book.  I’m only on Page 130, but so far the book has exceeded my expectations.The layout is sensible and very professional, the examples are instructive, and the exercises are as much fun as you can have when trying to learn a new programming language.  As several others have noted, you might want to order a tube of glue when you buy this book; the cover started falling off after about Day 2.  I’m not going to knock off a star for a problem like that, but it is a bit annoying.  So, if you want to learn Python, I can highly recommend this book to get you started.
","Reviewed in the United States on May 7, 2020","Very nice book!",5,""
"R6WTB2RTUXH5O","Amazon Customer","
  This book is excellent for anyone who wants to learn a computer language from the ground up.  It walks you through the free software to install (how to install it and trouble shoot any issues you may have), gives plenty of examples and discusses common errors, and has made learning Python easy and fun.My background is NOT in computer science, but in mathematics.  I have very little experience programming.  I purchased this book because my 10 year old was interested in learning to program and I wanted to be able to help him get started.  I'm not sure if he would have the patience to read the book on his own, but any adult or kid over the age of 13 should be good to go.The quality of construction of the book cover is ""meh"".  It came undone after a few days of use, but the binding is good (nothing a little glue in the spine wont fix).  The paper and printing are of good quality.  I wouldn't let this minor issue deter me from recommending this book to others.The software for python doesn't need much to run.  In fact, there are apps out there for running it on phones or tablets.  You don't need a full fledged PC to use this software (and again it is free).Best of luck programming.  It is fun!
","Reviewed in the United States on June 9, 2020","Excellent Introductory Book",5,""
"R1SGL2CVEQSKCP","Amazon Customer","
  I read this book after taking an introductory online course. The online course did a great job of helping me understand the core concepts of Python, but left out a lot of the conventions (such as formatting). This is where the book REALLY comes in handy. The author puts an emphasis on common formatting used within the industry.The examples and the exercises are extremely well thought out and really helped me understand the code. The examples are usually something you'd encounter in real-life and when the author expands the code for those examples its done so bit by bit so you get a full understanding of what is actually going on.First half of the book is all about learning python. The second half walks you through big projects, such as a video game, web page, or web application. I've done all the exercises and am currently working on the video game project.HIGHLY recommended for anyone trying to pick up Python.
","Reviewed in the United States on June 9, 2020","This is a GREAT book!",5,""
"R3BTNLO5EH2RG8","LIBBY LOU","
  was very excited to receive this book....cannot believe there are no examples for the try it yourself exercises READY TO SCREAM there are some online but not all...why put the time and energy into writing a whole book but leave out something as critical as follow up answers....regret purchasing....will look to purchase a book that i can check my answers n c if im on track ...UGH
","Reviewed in the United States on November 13, 2020","WHY NO SOLUTIONS TO EXERCISES UGH",1,""
"R2L5U9DKM7XADC","Vaddi","
  First things first, I'm completely new to programming. I have a fair understanding of propositional logic, and that's it.Con:One gripe I have is that the binding immediately came out after using it for 2 weeks. It's pretty unfortunate, but I won't hesitate to rate this book for 5 stars on the content alone. If ever a third edition is made, I strongly recommend have better bindings to the publisher.Pros:With that out of the way, I love this book. It has a thorough ""read-example-here"" approach and then relevant exercises you should do afterward. This is a great book to start learning Python as long as you're motivated to read! Don't sleep on this book if you ever ideated wanting to learn how to program.
","Reviewed in the United States on October 7, 2020","A wonderful resource for Python Beginners! Weak binding though.",5,"https://images-na.ssl-images-amazon.com/images/I/61auTWIdE5L.jpg"
"R14GQF7GNE9C1V","Marcos Efron","
  I am 8 chapters in and so far all my expectations have been exceeded. The book is very well organized and assumes the reader is starting from virtually zero programming experience. If you've got an analytical mind and love solving problems, you'll be okay. I have a lot of experience in Excel where some of the longer formulas indeed feel like mini-programs, so certain things in coding like variables, Boolean expressions (True/False) were already familiar.I would strongly recommend trying to work through the exercises on your own before peeking at the solutions on the website. I know it's tempting, and it may take 30, 45 minutes or more to figure it out, but when you do it's a marvelous feeling!I've read comments that the book is poor quality and comes apart at the spine, but so far that has not been my experience. Possibly it happens down the road but right now, after 3+ days with it opened on my desk, it's holding up fine.Big recommend!!UPDATE: Unsurprisingly, given how many others had the same problem, the spine of my book came apart this morning. It's an easy fix w/ some glue, but it's disappointing that the physical quality is this poor. No Starch needs to do better.
","Reviewed in the United States on October 28, 2020","Exactly what I was looking for! [UPDATED]",5,""
"RFVUM3MD9BPXE","Nicholas Broussard","
  This book is truly awesome. It teaches basic Python programming from the ground up. There's just the right amount of detail. I quickly became proficient at writing for loops, while loops, if-elif-else statements, and functions. The book is prefaced with nice explanations of the differences between lists, dictionaries, etc. I mostly loved the breakdowns of each example. The author gives a step-by-step explanation for each. This is clearer and more accessible than any other book I've seen.My only request, Mr. Matthes, is that you write the same book but for R. I've waded through a handful of R books to find the info you've so succinctly made available in Python Crash Course.
","Reviewed in the United States on October 15, 2019","Awesome Python Book",5,""
"RGR5UQFA4F0AH","L B.","
  Seriously, buy this book.  My programming experience prior was limited to a single semester class where all I learned was basic concepts without any actual language skills, and that was over a decade ago.  Less than halfway through this excellent text, and I was already starting the command line game project I had in mind.  Honestly, I was skeptical before and probably wouldn't have bought the book if it had not been discounted, but having seen how quickly I was grasping the concepts, I can wholeheartedly recommend this book at any price point.  There is a reason so many sources suggest this as a wonderful entry point to Python.tl:dr - Want to learn Python, Buy this book.
","Reviewed in the United States on October 11, 2020","Buy this book",5,""
"R39RZIPXZYTZ6U","Seth Ward","
  I needed to learn basic Python for a specific project I had in mind. My previous ""code"" experience includes HTML/CSS and enough Javascript to dress up websites and make basic widgets to use at work. My hope with this book was to learn enough to get a barebones version of the project running then hand it off to a real programmer. I finished the first half of the book, which is the basics, and decided to try out a couple ideas before moving on to the ""example projects"" part of the book. The examples are great but some were honestly overkill for what I needed. To my surprise I had a working program in a few days. I recommend this book for anyone starting out with Python.
","Reviewed in the United States on May 5, 2020","Easy to get started with Python",5,""
